重庆市
地区,确诊,死亡,自愈
所有地区合计,544,5,184
万州区,105,3,34,
江北区,27,0,3,
綦江区,23,0,5,
合川区,23,0,6,
潼南区,18,0,2,
垫江县,20,0,5,
奉节县,20,0,5,
渝中区,20,0,7,
南岸区,15,0,2,
九龙坡区,20,1,7,
大足区,14,0,2,
长寿区,20,0,9,
忠县,20,0,9,
两江新区,17,0,7,
渝北区,15,0,5,
石柱县,14,0,5,
荣昌区,9,0,0,
沙坪坝区,8,0,0,
云阳县,23,0,16,
开州区,20,1,12,
丰都县,10,0,3,
铜梁区,9,0,2,
巫溪县,13,0,8,
巫山县,10,0,5,
巴南区,6,0,1,
璧山区,8,0,4,
大渡口区,7,0,4,
永川区,5,0,2,
高新区,4,0,1,
江津区,4,0,2,
涪陵区,3,0,1,
彭水县,2,0,0,
酉阳县,1,0,0,
万盛经开区,1,0,0,
梁平区,4,0,4,
黔江区,2,0,2,
城口县,2,0,2,
武隆区,1,0,1,
秀山县,1,0,1,
信息爬取时间：2020-02-16 14：23
