重庆市
地区,确诊,死亡,治愈
所有地区合计,575,6,335
万州区,118,4,66,
江北区,28,0,11,
綦江区,23,0,12,
长寿区,22,0,11,
奉节县,22,0,11,
潼南区,18,0,7,
合川区,23,0,13,
垫江县,20,0,10,
南岸区,15,0,5,
九龙坡区,20,1,11,
沙坪坝区,9,0,1,
渝北区,17,0,10,
两江新区,17,0,10,
铜梁区,10,0,4,
丰都县,10,0,4,
大足区,14,0,9,
巫溪县,14,0,9,
云阳县,25,0,21,
开州区,21,1,16,
渝中区,20,0,16,
石柱县,15,0,11,
巫山县,10,0,6,
荣昌区,9,0,5,
忠县,21,0,18,
巴南区,6,0,3,
涪陵区,5,0,2,
璧山区,9,0,7,
高新区,4,0,2,
彭水县,2,0,0,
大渡口区,7,0,6,
永川区,5,0,4,
酉阳,1,0,0,
万盛经开区,1,0,0,
江津区,4,0,4,
梁平区,4,0,4,
黔江区,2,0,2,
城口县,2,0,2,
武隆区,1,0,1,
秀山县,1,0,1,
信息爬取时间：2020-02-24 20：49
